Episodes,Returns,Lengths
30.75,-212.1379951440054,300.0
31.0,-212.5156489537476,300.0
31.25,-193.20632911997353,300.0
31.5,-213.31286215992873,300.0
31.75,-193.20632911997353,300.0
32.0,-212.1379951440054,300.0
32.25,-211.74759280821968,300.0
32.5,-212.15440367861507,300.0
32.75,-212.15440367861507,300.0
33.0,-211.77674986887283,300.0
33.25,-210.9795366626917,300.0
33.5,-211.36993899847744,300.0
33.75,-211.36993899847738,300.0
34.0,-211.36993899847738,300.0
34.25,-210.9922851887352,300.0
34.5,-230.30160502250928,300.0
34.75,-231.08606970264697,300.0
35.0,-211.77674986887286,300.0
35.25,-211.77674986887286,300.0
35.5,-191.67021682891763,300.0
35.75,-190.88575214878,300.0
36.0,-177.79473573943488,300.0
36.25,-179.5414771647697,300.0
36.5,-155.86130213314055,300.0
36.75,-146.6418581735799,300.0
37.0,-148.15922765354526,300.0
37.25,-139.58902002050883,300.0
37.5,-140.32192482033656,300.0
37.75,-131.36016921730211,300.0
38.0,-123.57094258804948,300.0
38.25,-112.31430684156496,300.0
38.5,-100.25626387693914,300.0
38.75,-88.99129305717419,300.0
39.0,-74.58681713994108,300.0
39.25,-12.367974439673713,300.0
39.5,10.77921530711548,300.0
39.75,45.83480776810568,300.0
40.0,56.02391663426253,300.0
40.25,55.36713525041449,300.0
40.5,70.21408472079432,300.0
40.75,97.58183972776891,300.0
41.0,83.96686318187652,300.0
41.25,95.57462517095847,300.0
41.5,100.30027429924274,299.4
41.75,71.24755036936068,299.4
42.0,97.99554270987198,297.35
42.25,122.30889272879281,297.35
42.5,136.33853565247563,286.45
42.75,127.650033119075,286.45
43.0,118.95919254353285,286.45
43.25,127.63649600575877,280.9
43.5,135.56907610200147,274.8
43.75,123.78014514568925,274.8
44.0,133.6062082072129,272.15
44.25,86.32836817555592,263.6
44.5,77.96596511234327,254.45
44.75,77.04753183557644,254.45
45.0,66.58371326664177,254.45
45.25,86.03409083932864,254.45
45.5,64.29613581860359,243.9
45.75,48.30679938585631,233.0
46.0,59.32286802936007,221.35
46.25,49.38352720319664,216.15
46.5,50.4826024619696,216.75
46.75,61.28480926721504,204.95
47.0,61.88393196338576,206.4
47.25,40.93000776709297,195.55
47.5,50.66015937972581,203.3
47.75,61.274744145989665,191.4
48.0,72.6650779357059,180.1
48.25,62.94140407996226,173.8
48.5,53.979046647737654,168.05
48.75,73.44209633016077,162.3
49.0,59.51397122759447,153.15
49.25,54.4055801022086,149.85
49.5,49.71141804834863,147.1
49.75,26.07169436423724,135.2
50.0,17.33949810943144,123.4
50.25,8.848315796783051,111.6
50.5,6.802203343857312,110.4
50.75,5.39056925360136,109.45
51.0,5.242899040358496,109.25
51.25,-3.06536344771327,103.1
51.5,-21.42861136650489,91.25
51.75,-20.781322979240873,91.7
52.0,-15.696948231180391,92.3
52.25,-8.499858161599185,96.65
52.5,-18.525098530186508,88.8
52.75,5.205215458464369,100.7
53.0,28.75878708274588,112.0
53.25,51.20958755532447,123.85
53.5,67.8268630042703,134.5
53.75,76.3245920449562,139.5
54.0,93.79233965423512,150.8
54.25,117.31411413384959,162.65
