Episodes,Returns,Lengths
17.5,0.9816944,140.8
17.75,0.99453115,141.15
18.0,0.9942475999999999,141.05
18.25,0.99260375,140.9
18.5,0.9922869500000001,140.95
18.75,0.9935579999999999,141.15
19.0,0.9951677499999999,141.3
19.25,1.0012578499999998,141.15
19.5,1.00868285,141.3
19.75,1.0039317,141.6
20.0,0.9989017500000001,141.85
20.25,0.9986590500000002,142.45
20.5,0.9960579500000002,142.6
20.75,0.9936345000000001,142.8
21.0,0.9929064000000001,143.4
21.25,0.98589025,143.0
21.5,0.9817784999999999,143.1
21.75,0.9792589499999999,143.65
22.0,0.96580835,144.15
22.25,0.9636185999999999,144.4
22.5,0.9624757499999997,144.9
22.75,0.94762685,144.9
23.0,0.9447758,145.1
23.25,0.9415288,144.85
23.5,0.9404191000000001,145.15
23.75,0.9349465499999999,144.75
24.0,0.9412687,144.55
24.25,0.92927605,144.8
24.5,0.9153084,144.65
24.75,0.9253536,144.5
25.0,0.9229236499999999,144.0
25.25,0.9228656,143.95
25.5,0.9221638999999998,143.8
25.75,0.9214074999999999,143.65
26.0,0.9201876,143.4
26.25,0.9225029499999999,143.95
26.5,0.93289845,144.1
26.75,0.9303970999999999,143.75
27.0,0.9312686499999998,144.15
27.25,0.9446985499999998,144.8
27.5,0.9475503000000002,145.6
27.75,0.9506556000000002,146.4
28.0,0.9540199500000002,147.25
28.25,0.9559213000000002,147.85
28.5,0.9531659000000001,147.4
28.75,0.9580979000000001,148.5
29.0,0.9490806,149.1
29.25,0.95154165,149.75
29.5,0.9509181000000002,149.8
29.75,0.9392219,149.75
30.0,0.9504058499999999,150.0
30.25,0.95097885,150.3
30.5,0.9532405500000001,150.95
30.75,0.9633730500000001,151.0
31.0,0.9661950000000001,151.8
31.25,0.9660256,151.9
31.5,0.9525547999999999,151.4
31.75,0.956494,152.4
32.0,0.9567184000000001,152.6
32.25,0.94410965,152.35
32.5,0.9415834499999999,151.85
32.75,0.9408663999999998,151.75
33.0,0.9448760499999999,152.65
33.25,0.9585080999999999,153.4
33.5,0.9766031499999999,155.0
33.75,0.97642665,155.05
34.0,0.9849530999999999,154.7
34.25,0.9824524499999999,154.35
34.5,0.9879696500000001,155.6
34.75,1.0011515500000001,156.35
35.0,0.9927469500000002,157.0
35.25,0.9958637500000002,157.9
35.5,1.0140454,159.9
35.75,1.0054893,160.6
36.0,1.00915125,161.7
36.25,1.03095325,164.55
36.5,1.0386632,166.5
36.75,1.040191,167.05
37.0,1.05512745,168.25
37.25,1.0600143499999999,169.6
37.5,1.0830936000000002,172.65
37.75,1.09606815,173.45
38.0,1.0966599000000001,173.9
38.25,1.1038690000000002,175.8
38.5,1.0906795500000002,175.75
38.75,1.0970308999999998,177.4
39.0,1.11358205,181.8
39.25,1.1196609,183.7
39.5,1.13714615,186.1
39.75,1.1608874500000002,192.2
40.0,1.1851928,196.1
40.25,1.2342751,203.65
40.5,1.2890333,215.7
40.75,1.3763245999999998,230.6
41.0,1.4700078499999998,247.65
41.25,1.546725,263.35
41.5,1.6641689,284.4
41.75,1.7716514499999998,305.7
42.0,1.8757766,326.4
42.25,1.99289625,347.8
42.5,2.0873844499999996,367.0
42.75,2.1902991999999997,388.15
43.0,2.2912451,408.95
43.25,2.3776848,428.9
43.5,2.4806411500000003,450.4
43.75,2.58804285,470.75
44.0,2.6757541000000002,488.9
44.25,2.7842470000000006,509.55
44.5,2.8753137000000004,528.6
44.75,2.9419657,544.6
45.0,3.0283700500000004,562.7
45.25,3.0880611500000006,576.7
45.5,3.1257069500000005,585.05
45.75,3.1491055,592.2
46.0,3.1502165,596.0
46.25,3.1520682,600.0
46.5,3.1299312,600.0
46.75,3.12857345,600.0
47.0,3.1168033999999993,600.0
47.25,3.1078359499999992,600.0
47.5,3.09954005,600.0
47.75,3.0920297999999997,600.0
48.0,3.0958599500000004,600.0
48.25,3.0988919,600.0
48.5,3.1033517,600.0
48.75,3.0875096,600.0
49.0,3.08633305,600.0
49.25,3.0752347,600.0
49.5,3.06484385,600.0
49.75,3.0754871500000003,600.0
50.0,3.0633578000000004,600.0
50.25,3.06259795,600.0
50.5,3.0629734500000003,600.0
50.75,3.0631055500000004,600.0
51.0,3.0742833000000003,600.0
51.25,3.08534865,600.0
51.5,3.0949288999999998,600.0
51.75,3.0839276499999997,600.0
52.0,3.08357815,600.0
52.25,3.0716055,600.0
52.5,3.0616304999999993,600.0
52.75,3.0630217999999996,600.0
53.0,3.0549428999999995,600.0
53.25,3.0593088,600.0
53.5,3.0646929999999997,600.0
53.75,3.0801492,600.0
54.0,3.0820852000000003,600.0
54.25,3.0949820000000003,600.0
54.5,3.1070553500000004,600.0
54.75,3.09776945,600.0
55.0,3.11126255,600.0
55.25,3.1132961000000003,600.0
55.5,3.10621555,600.0
55.75,3.1105112999999998,600.0
56.0,3.1049779499999994,600.0
56.25,3.10037405,600.0
56.5,3.1082214,600.0
56.75,3.1269093,600.0
57.0,3.13577095,600.0
57.25,3.15489375,600.0
57.5,3.1721431499999997,600.0
57.75,3.1668789499999996,600.0
58.0,3.1817426,600.0
58.25,3.18494895,600.0
58.5,3.1846435,600.0
58.75,3.1836271,600.0
59.0,3.1707456499999997,600.0
59.25,3.15741765,600.0
59.5,3.14555165,600.0
59.75,3.15617165,600.0
60.0,3.15672585,600.0
60.25,3.1573876499999995,600.0
60.5,3.1661194,600.0
60.75,3.1518138999999996,600.0
61.0,3.1575403,600.0
61.25,3.16283885,600.0
61.5,3.1562618999999996,600.0
61.75,3.1499812,600.0
62.0,3.13254475,600.0
62.25,3.11489775,600.0
62.5,3.0988357499999997,600.0
62.75,3.10434265,600.0
63.0,3.0988428499999996,600.0
63.25,3.0937378499999997,600.0
63.5,3.0908834999999995,600.0
63.75,3.0888339,600.0
64.0,3.0989553,600.0
64.25,3.1093173,600.0
64.5,3.1210907,600.0
64.75,3.1105924499999995,600.0
65.0,3.1110499999999996,600.0
65.25,3.10073825,600.0
65.5,3.0895891000000004,600.0
65.75,3.1006265500000003,600.0
66.0,3.0902693500000002,600.0
66.25,3.0914253,600.0
66.5,3.0922697,600.0
66.75,3.0929052500000003,600.0
67.0,3.10434075,600.0
67.25,3.1155103000000004,600.0
67.5,3.1248718500000003,600.0
67.75,3.1127362,600.0
68.0,3.1111653500000003,600.0
68.25,3.0985183,600.0
68.5,3.0860265499999997,600.0
68.75,3.0837977499999996,600.0
69.0,3.07021365,600.0
69.25,3.0668502,600.0
69.5,3.0620462999999996,600.0
69.75,3.0687370999999994,600.0
70.0,3.0648434499999997,600.0
70.25,3.07205295,600.0
70.5,3.08087045,600.0
70.75,3.06826695,600.0
71.0,3.0779755999999994,600.0
71.25,3.0771017499999997,600.0
71.5,3.06669285,600.0
71.75,3.0671659999999994,600.0
72.0,3.05653575,600.0
